entry_timestamp,exit_timestamp,entry_price,exit_price,entry_level,exit_level,size,pnl,return_pct,holding_period
2025-09-15 13:43:00+00:00,2025-09-15 13:46:00+00:00,114449.76170087968,114632.88131960109,2,2,0.0012254934439058784,0.16826403676680002,0.0011994401119777255,0.05
2025-09-15 13:43:00+00:00,2025-09-15 14:13:00+00:00,114449.76170087968,114632.88131960109,2,2,0.5520386316943485,75.79660999576299,0.001199440111977551,0.5
2025-09-15 14:05:00+00:00,2025-09-15 15:20:00+00:00,114449.76170087968,114632.88131960109,2,2,0.5520526099648156,75.79852925549494,0.0011994401119775875,1.25
2025-09-15 15:16:00+00:00,2025-09-15 15:20:00+00:00,114449.76170087968,114632.88131960109,2,2,0.0007032179520973791,0.09655399784892893,0.001199440111977497,0.06666666666666667
2025-09-15 15:16:00+00:00,2025-09-22 01:15:00+00:00,114449.76170087968,114632.88131960109,2,2,0.552755827916913,75.89508325333736,0.0011994401119774845,153.98333333333332
2025-09-22 00:50:00+00:00,2025-09-22 01:15:00+00:00,114449.76170087968,114632.88131960109,2,2,0.0014096856011835968,0.19355418913636413,0.001199440111977459,0.4166666666666667
2025-09-11 18:16:00+00:00,2025-09-22 02:00:00+00:00,114266.93460551086,114449.76170087968,3,3,0.5527936147570794,75.77902506317332,0.001199440111977744,247.73333333333332
2025-09-11 18:16:00+00:00,2025-09-22 02:00:00+00:00,114266.93460551086,114449.76170087968,3,3,0.1159838820272272,15.899506196234142,0.0011994401119782177,247.73333333333332
2025-09-11 20:29:00+00:00,2025-09-22 03:17:00+00:00,114266.93460551086,114449.76170087968,3,3,0.5542487741143632,75.9785037736001,0.001199440111977669,246.8
2025-09-22 01:56:00+00:00,2025-09-22 03:17:00+00:00,114266.93460551086,114449.76170087968,3,3,0.11312899938769716,15.50814816075399,0.0011994401119776782,1.35
2025-09-22 00:50:00+00:00,2025-09-22 03:51:00+00:00,114449.76170087968,114632.88131960109,2,2,0.32533583899477325,44.669616019884415,0.0011994401119774427,3.0166666666666666
2025-09-09 14:00:00+00:00,2025-09-22 06:02:00+00:00,112634.57744104222,112999.8,12,12,0.5483651335096837,175.52931220168102,0.002841327098702813,304.03333333333336
2025-09-09 14:17:00+00:00,2025-09-22 06:03:00+00:00,112275.00998506443,112454.65000104054,14,14,0.5438147608234822,73.24863106332486,0.0011994401119777857,303.76666666666665
2025-09-09 14:32:00+00:00,2025-09-22 06:04:00+00:00,112095.65693397008,112394.6,15,15,0.536409111031257,136.27206046663923,0.002265870264265245,303.53333333333336
2025-09-09 14:32:00+00:00,2025-09-22 06:04:00+00:00,112095.65693397008,112394.6,15,15,0.09607723812463376,24.4079433664956,0.002265870264288728,303.53333333333336
2025-09-09 14:02:00+00:00,2025-09-22 06:05:00+00:00,112454.65000104054,112634.57744104222,13,13,0.5442560089014085,73.42535747228976,0.0011994401119776352,304.05
